close,volume
110.62000274658,300
104.48999786377,500
102.91999816895,900
102.01999664307,300
106.33999633789,200
105.45999908447,100
106.94000244141,400
105.34999847412,100
122.83000183105,700
126.25,300
122.40000152588,400
111.12999725342,500
111.59999847412,400
99.51000213623,700
103.73000335693,100
103.94999694824,100
87.480003356934,900
96.919998168945,300
61.200000762939,100
61.770000457764,3500
63.490001678467,800
63.189998626709,1100
63.720001220703,100
66.629997253418,5200
66.599998474121,100
67.879997253418,6400
71.809997558594,5000
74.110000610352,1100
75.01000213623,1000
73.230003356934,1000
75.800003051758,3000
78.419998168945,1000
77.360000610352,800
77.519996643066,1100
82.819999694824,1500
90.279998779297,10000
88.019996643066,200
87.480003356934,200
97.900001525879,7200
110.37999725342,900
104.33000183105,100
110.16999816895,600
115.62000274658,700
