close,volume
1.0499999523163,2000
1.0700000524521,1900
1.1000000238419,200
1.1100000143051,100
1.1399999856949,1800
1.210000038147,3800
1.210000038147,11100
1.2400000095367,100
1.2400000095367,1800
1.3600000143051,6600
1.8899999856949,50000
1.4800000190735,97400
1.5,46400
1.3700000047684,23000
1.3799999952316,8600
1.3999999761581,10500
1.3799999952316,1100
1.3400000333786,3100
1.3999999761581,2400
1.3999999761581,8900
1.5199999809265,2300
1.5199999809265,100
1.3999999761581,7700
1.3500000238419,2600
1.289999961853,51800
1.289999961853,500
1.3300000429153,200
1.3400000333786,900
1.2999999523163,6800
1.3300000429153,200
1.2999999523163,3300
1.3600000143051,3700
1.4199999570847,1300
1.3400000333786,4200
1.3999999761581,21500
1.3300000429153,35600
1.289999961853,5300
1.2699999809265,5000
1.289999961853,700
1.3799999952316,8300
1.3700000047684,1400
1.4500000476837,3000
1.3600000143051,100
1.3400000333786,1500
1.2599999904633,800
1.3600000143051,100
1.3700000047684,500
1.4299999475479,3800
1.4299999475479,1100
1.4900000095367,4900
1.5199999809265,11500
1.4500000476837,200
1.4299999475479,100
1.4299999475479,300
1.4299999475479,2900
1.4199999570847,100
1.4199999570847,7200
1.4199999570847,3000
1.4099999666214,2000
1.3899999856949,2000
1.3700000047684,500
1.3099999427795,100
1.3700000047684,200
1.4700000286102,1200
1.5800000429153,7600
1.5099999904633,700
1.4900000095367,900
1.6100000143051,2100
1.75,200
1.6499999761581,1400
1.6499999761581,100
1.4199999570847,900
1.4299999475479,900
1.3400000333786,1000
1.3400000333786,100
1.3300000429153,5500
1.4400000572205,300
1.4500000476837,200
1.4500000476837,700
1.3400000333786,3600
1.3400000333786,100
1.3400000333786,100
1.289999961853,100
1.289999961853,200
1.2599999904633,5000
1.3300000429153,100
1.3300000429153,200
1.3899999856949,500
1.3799999952316,100
1.3099999427795,100
1.3799999952316,500
1.289999961853,200
1.289999961853,600
1.289999961853,200
1.289999961853,300
1.3300000429153,1500
1.289999961853,500
1.3200000524521,200
1.289999961853,2500
1.289999961853,1300
1.2699999809265,1200
1.289999961853,1700
1.3600000143051,3600
1.3600000143051,100
1.3799999952316,200
1.4400000572205,5500
1.4500000476837,3500
1.4500000476837,1300
1.460000038147,200
1.4800000190735,1000
1.4900000095367,1000
1.5499999523163,1700
1.5900000333786,400
1.5900000333786,5200
1.7799999713898,26000
1.8700000047684,9400
1.9700000286102,4100
1.9700000286102,800
1.9900000095367,6500
1.8799999952316,6500
1.8600000143051,16700
1.8600000143051,6500
1.8400000333786,4100
1.8400000333786,600
1.8400000333786,800
1.8200000524521,900
1.8400000333786,800
1.8400000333786,1000
1.7699999809265,900
1.8400000333786,1800
1.8200000524521,4000
1.8400000333786,9100
1.8200000524521,3200
1.8099999427795,6000
1.8600000143051,3900
1.8600000143051,700
1.8799999952316,100
1.8799999952316,200
1.8799999952316,500
1.8200000524521,100
1.8099999427795,2100
1.8799999952316,200
1.9099999666214,4300
1.8400000333786,6200
1.7999999523163,5000
1.6799999475479,23300
1.6000000238419,12400
1.7400000095367,300
1.7400000095367,100
1.75,3300
1.75,200
1.5,4900
1.6799999475479,59200
1.7699999809265,2700
2.039999961853,14100
2.25,4900
2.3099999427795,700
2.2000000476837,12500
2.1300001144409,3100
2.170000076294,2500
2.1300001144409,200
2.1300001144409,1500
2.1300001144409,2100
2.1300001144409,600
2.2599999904633,500
2.329999923706,5400
2.5199999809265,100
2.5299999713898,6900
2.3699998855591,7600
2.3699998855591,2700
